loo,mse,auc_leve,acc,auc
0.10673852352349858,0.2135792010346404,0.9244276415773498,0.5666666666666667,0.6084109088361006
0.016201021477210913,0.1779705350412181,1.0,0.7033851687295037,0.7344791261878318
0.02579450130673962,0.1445636913216572,0.9951049862032795,0.7803069053708439,0.68863832815735
0.12849864313166393,0.1723234451689195,0.908575036075036,0.7450549450549452,0.5
0.23936270363479348,0.27508226922836504,0.5963327493911691,0.42042016806722693,0.5
0.06066045134877335,0.11165424759692415,0.9621061662253554,0.9148148148148147,0.5
0.1621945165947251,0.20175025006653446,0.8309863573511773,0.6524094326725904,0.5023987411056376
0.10780862517753734,0.27195597537739313,0.6069444444444445,0.12000000000000002,0.5
0.16553465167852996,0.19330463512810436,0.7964823066229612,0.7,0.5
0.14939320850272692,0.19457225608314793,0.8583333333333334,0.6821428571428572,0.575
0.1826080686988422,0.19289326518918343,0.6915767457180502,0.7320430107526883,0.49782608695652175
0.1265730905596873,0.20460304236205387,0.8988094177064765,0.5999999999999999,0.5509956709956709
0.18437411642496676,0.19798082366317143,0.7182013069224003,0.7150030248033877,0.5
0.12062434023968842,0.16618626831858443,0.8527486263736263,0.7542105263157894,0.5
0.16899211731576647,0.23806241892153804,0.8380747400747401,0.5145238095238095,0.5435622710622712
